,Confidence,Effective Proportion,Average Accuracy,$\Delta$ Accuracy,Test Needed
316,0.95,$\rho=1.00$,80.0,7.039999999999999,50
317,0.95,$\rho=1.00$,80.0,7.079999999999999,47
318,0.95,$\rho=1.00$,80.0,7.119999999999998,47
319,0.95,$\rho=1.00$,80.0,7.159999999999998,48
320,0.95,$\rho=1.00$,80.0,7.199999999999998,46
321,0.95,$\rho=1.00$,80.0,7.2399999999999975,47
322,0.95,$\rho=1.00$,80.0,7.279999999999999,46
323,0.95,$\rho=1.00$,80.0,7.3199999999999985,47
324,0.95,$\rho=1.00$,80.0,7.3599999999999985,46
325,0.95,$\rho=1.00$,80.0,7.399999999999999,44
326,0.95,$\rho=1.00$,80.0,7.439999999999998,43
327,0.95,$\rho=1.00$,80.0,7.479999999999998,44
328,0.95,$\rho=1.00$,80.0,7.519999999999999,44
329,0.95,$\rho=1.00$,80.0,7.559999999999999,43
330,0.95,$\rho=1.00$,80.0,7.599999999999999,43
331,0.95,$\rho=1.00$,80.0,7.639999999999998,42
332,0.95,$\rho=1.00$,80.0,7.679999999999998,44
333,0.95,$\rho=1.00$,80.0,7.719999999999998,42
334,0.95,$\rho=1.00$,80.0,7.759999999999999,41
335,0.95,$\rho=1.00$,80.0,7.799999999999999,41
336,0.95,$\rho=1.00$,80.0,7.839999999999998,39
337,0.95,$\rho=1.00$,80.0,7.879999999999998,39
338,0.95,$\rho=1.00$,80.0,7.919999999999998,39
339,0.95,$\rho=1.00$,80.0,7.959999999999997,39
340,0.95,$\rho=1.00$,80.0,7.999999999999999,39
341,0.95,$\rho=1.00$,80.0,8.04,40
342,0.95,$\rho=1.00$,80.0,8.079999999999998,38
343,0.95,$\rho=1.00$,80.0,8.119999999999997,38
344,0.95,$\rho=1.00$,80.0,8.159999999999998,37
345,0.95,$\rho=1.00$,80.0,8.199999999999998,38
346,0.95,$\rho=1.00$,80.0,8.239999999999998,38
347,0.95,$\rho=1.00$,80.0,8.279999999999998,38
348,0.95,$\rho=1.00$,80.0,8.319999999999999,36
349,0.95,$\rho=1.00$,80.0,8.359999999999998,36
350,0.95,$\rho=1.00$,80.0,8.399999999999999,38
351,0.95,$\rho=1.00$,80.0,8.439999999999998,34
352,0.95,$\rho=1.00$,80.0,8.479999999999999,35
353,0.95,$\rho=1.00$,80.0,8.519999999999998,35
354,0.95,$\rho=1.00$,80.0,8.559999999999999,33
355,0.95,$\rho=1.00$,80.0,8.599999999999998,35
356,0.95,$\rho=1.00$,80.0,8.639999999999997,33
357,0.95,$\rho=1.00$,80.0,8.679999999999998,33
358,0.95,$\rho=1.00$,80.0,8.719999999999999,33
359,0.95,$\rho=1.00$,80.0,8.759999999999998,32
360,0.95,$\rho=1.00$,80.0,8.799999999999999,33
361,0.95,$\rho=1.00$,80.0,8.839999999999998,32
362,0.95,$\rho=1.00$,80.0,8.879999999999997,31
363,0.95,$\rho=1.00$,80.0,8.919999999999998,31
364,0.95,$\rho=1.00$,80.0,8.959999999999999,31
365,0.95,$\rho=1.00$,80.0,8.999999999999998,32
366,0.95,$\rho=1.00$,80.0,9.039999999999997,29
367,0.95,$\rho=1.00$,80.0,9.079999999999998,30
368,0.95,$\rho=1.00$,80.0,9.119999999999997,30
369,0.95,$\rho=1.00$,80.0,9.159999999999997,30
370,0.95,$\rho=1.00$,80.0,9.2,30
371,0.95,$\rho=1.00$,80.0,9.239999999999998,29
372,0.95,$\rho=1.00$,80.0,9.279999999999998,28
373,0.95,$\rho=1.00$,80.0,9.319999999999999,30
374,0.95,$\rho=1.00$,80.0,9.359999999999998,29
375,0.95,$\rho=1.00$,80.0,9.399999999999997,28
376,0.95,$\rho=1.00$,80.0,9.439999999999998,27
377,0.95,$\rho=1.00$,80.0,9.479999999999999,28
378,0.95,$\rho=1.00$,80.0,9.519999999999998,28
379,0.95,$\rho=1.00$,80.0,9.559999999999997,28
380,0.95,$\rho=1.00$,80.0,9.599999999999998,28
381,0.95,$\rho=1.00$,80.0,9.639999999999997,28
382,0.95,$\rho=1.00$,80.0,9.679999999999998,26
383,0.95,$\rho=1.00$,80.0,9.719999999999999,26
384,0.95,$\rho=1.00$,80.0,9.759999999999998,26
385,0.95,$\rho=1.00$,80.0,9.799999999999997,27
386,0.95,$\rho=1.00$,80.0,9.839999999999998,26
387,0.95,$\rho=1.00$,80.0,9.879999999999997,26
388,0.95,$\rho=1.00$,80.0,9.919999999999998,24
389,0.95,$\rho=1.00$,80.0,9.959999999999997,26
390,0.95,$\rho=1.00$,80.0,9.999999999999998,26
391,0.95,$\rho=1.00$,80.0,10.039999999999997,26
392,0.95,$\rho=1.00$,80.0,10.079999999999997,26
393,0.95,$\rho=1.00$,80.0,10.119999999999997,24
394,0.95,$\rho=1.00$,80.0,10.159999999999998,25
395,0.95,$\rho=1.00$,80.0,10.199999999999998,25
396,0.95,$\rho=1.00$,80.0,10.239999999999998,24
397,0.95,$\rho=1.00$,80.0,10.279999999999998,25
398,0.95,$\rho=1.00$,80.0,10.319999999999997,23
399,0.95,$\rho=1.00$,80.0,10.359999999999998,23
400,0.95,$\rho=1.00$,80.0,10.399999999999999,23
401,0.95,$\rho=1.00$,80.0,10.439999999999998,24
402,0.95,$\rho=1.00$,80.0,10.479999999999997,22
403,0.95,$\rho=1.00$,80.0,10.519999999999998,23
404,0.95,$\rho=1.00$,80.0,10.559999999999997,23
405,0.95,$\rho=1.00$,80.0,10.599999999999998,22
406,0.95,$\rho=1.00$,80.0,10.639999999999999,22
407,0.95,$\rho=1.00$,80.0,10.679999999999998,23
408,0.95,$\rho=1.00$,80.0,10.719999999999997,23
409,0.95,$\rho=1.00$,80.0,10.759999999999998,21
410,0.95,$\rho=1.00$,80.0,10.799999999999997,22
411,0.95,$\rho=1.00$,80.0,10.839999999999998,21
412,0.95,$\rho=1.00$,80.0,10.879999999999997,22
413,0.95,$\rho=1.00$,80.0,10.919999999999998,21
414,0.95,$\rho=1.00$,80.0,10.959999999999997,22
415,0.95,$\rho=1.00$,80.0,10.999999999999996,22
416,0.95,$\rho=1.00$,80.0,11.039999999999997,20
417,0.95,$\rho=1.00$,80.0,11.079999999999998,20
418,0.95,$\rho=1.00$,80.0,11.119999999999997,21
419,0.95,$\rho=1.00$,80.0,11.159999999999998,20
420,0.95,$\rho=1.00$,80.0,11.199999999999998,20
421,0.95,$\rho=1.00$,80.0,11.239999999999997,20
422,0.95,$\rho=1.00$,80.0,11.279999999999998,20
423,0.95,$\rho=1.00$,80.0,11.319999999999999,20
424,0.95,$\rho=1.00$,80.0,11.359999999999998,20
425,0.95,$\rho=1.00$,80.0,11.399999999999997,20
426,0.95,$\rho=1.00$,80.0,11.439999999999998,20
427,0.95,$\rho=1.00$,80.0,11.479999999999997,20
428,0.95,$\rho=1.00$,80.0,11.519999999999996,20
429,0.95,$\rho=1.00$,80.0,11.559999999999999,19
430,0.95,$\rho=1.00$,80.0,11.599999999999998,18
431,0.95,$\rho=1.00$,80.0,11.639999999999997,18
432,0.95,$\rho=1.00$,80.0,11.679999999999998,19
433,0.95,$\rho=1.00$,80.0,11.719999999999997,18
434,0.95,$\rho=1.00$,80.0,11.759999999999996,18
435,0.95,$\rho=1.00$,80.0,11.799999999999997,18
436,0.95,$\rho=1.00$,80.0,11.839999999999998,19
437,0.95,$\rho=1.00$,80.0,11.879999999999997,18
438,0.95,$\rho=1.00$,80.0,11.919999999999998,18
439,0.95,$\rho=1.00$,80.0,11.959999999999997,18
440,0.95,$\rho=1.00$,80.0,11.999999999999996,17
441,0.95,$\rho=1.00$,80.0,12.039999999999997,18
442,0.95,$\rho=1.00$,80.0,12.079999999999998,18
443,0.95,$\rho=1.00$,80.0,12.119999999999997,17
444,0.95,$\rho=1.00$,80.0,12.159999999999997,17
445,0.95,$\rho=1.00$,80.0,12.199999999999998,17
446,0.95,$\rho=1.00$,80.0,12.239999999999997,17
447,0.95,$\rho=1.00$,80.0,12.279999999999998,17
448,0.95,$\rho=1.00$,80.0,12.319999999999997,17
449,0.95,$\rho=1.00$,80.0,12.359999999999998,17
450,0.95,$\rho=1.00$,80.0,12.399999999999997,18
451,0.95,$\rho=1.00$,80.0,12.439999999999998,16
452,0.95,$\rho=1.00$,80.0,12.479999999999997,17
